Date,Season_End_Year,Week,ELO
14/08/2005,2006,1,463
20/08/2005,2006,2,412
14/12/2005,2006,3,487
27/08/2005,2006,4,431
10/09/2005,2006,5,507
18/09/2005,2006,6,532
24/09/2005,2006,7,574
02/10/2005,2006,8,684
15/10/2005,2006,9,726
22/10/2005,2006,10,764
29/10/2005,2006,11,805
05/11/2005,2006,12,836
19/11/2005,2006,13,676
26/11/2005,2006,14,612
03/12/2005,2006,15,570
10/12/2005,2006,16,528
17/12/2005,2006,17,526
26/12/2005,2006,18,560
28/12/2005,2006,19,587
31/12/2005,2006,20,523
02/01/2006,2006,21,492
15/01/2006,2006,22,464
21/01/2006,2006,23,499
31/01/2006,2006,24,520
04/02/2006,2006,25,526
11/02/2006,2006,26,488
19/02/2006,2006,27,489
06/03/2006,2006,28,449
11/03/2006,2006,29,492
18/03/2006,2006,30,533
25/03/2006,2006,31,502
03/04/2006,2006,32,520
08/04/2006,2006,33,518
15/04/2006,2006,34,476
18/04/2006,2006,35,501
24/04/2006,2006,36,464
29/04/2006,2006,37,422
07/05/2006,2006,38,387
19/08/2006,2007,1,355
13/12/2006,2007,2,510
26/08/2006,2007,3,452
09/09/2006,2007,4,411
16/09/2006,2007,5,504
23/09/2006,2007,6,500
01/10/2006,2007,7,460
14/10/2006,2007,8,417
21/10/2006,2007,9,493
28/10/2006,2007,10,563
04/11/2006,2007,11,646
11/11/2006,2007,12,689
19/11/2006,2007,13,685
26/11/2006,2007,14,553
06/12/2006,2007,15,550
02/12/2006,2007,16,517
09/12/2006,2007,17,547
16/12/2006,2007,18,472
23/12/2006,2007,19,438
26/12/2006,2007,20,395
21/02/2007,2007,21,388
01/01/2007,2007,22,360
13/01/2007,2007,23,319
21/01/2007,2007,24,279
30/01/2007,2007,25,242
03/02/2007,2007,26,399
11/02/2007,2007,27,363
25/02/2007,2007,28,585
03/03/2007,2007,29,627
17/03/2007,2007,30,601
31/03/2007,2007,31,539
07/04/2007,2007,32,509
09/04/2007,2007,33,515
15/04/2007,2007,34,569
21/04/2007,2007,35,527
28/04/2007,2007,36,488
05/05/2007,2007,37,410
13/05/2007,2007,38,450
11/08/2007,2008,1,407
15/08/2007,2008,2,460
18/08/2007,2008,3,551
25/08/2007,2008,4,552
01/09/2007,2008,5,522
15/09/2007,2008,6,500
22/09/2007,2008,7,432
29/09/2007,2008,8,389
06/10/2007,2008,9,354
20/10/2007,2008,10,322
27/10/2007,2008,11,282
03/11/2007,2008,12,258
11/11/2007,2008,13,215
24/11/2007,2008,14,204
01/12/2007,2008,15,381
09/12/2007,2008,16,344
15/12/2007,2008,17,468
22/12/2007,2008,18,458
26/12/2007,2008,19,489
29/12/2007,2008,20,451
02/01/2008,2008,21,477
12/01/2008,2008,22,513
20/01/2008,2008,23,473
29/01/2008,2008,24,441
02/02/2008,2008,25,628
09/02/2008,2008,26,537
23/02/2008,2008,27,576
01/03/2008,2008,28,581
09/03/2008,2008,29,590
16/03/2008,2008,30,626
22/03/2008,2008,31,522
29/03/2008,2008,32,481
05/04/2008,2008,33,513
14/04/2008,2008,34,606
19/04/2008,2008,35,606
26/04/2008,2008,36,546
03/05/2008,2008,37,581
11/05/2008,2008,38,540
16/08/2008,2009,1,465
24/08/2008,2009,2,433
30/08/2008,2009,3,542
13/09/2008,2009,4,529
21/09/2008,2009,5,528
28/09/2008,2009,6,554
04/10/2008,2009,7,467
18/10/2008,2009,8,429
26/10/2008,2009,9,387
29/10/2008,2009,10,347
01/11/2008,2009,11,461
08/11/2008,2009,12,484
15/11/2008,2009,13,489
24/11/2008,2009,14,575
29/11/2008,2009,15,614
06/12/2008,2009,16,577
