Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,475
18/08/1992,1993,2,445
22/08/1992,1993,3,404
25/08/1992,1993,4,408
29/08/1992,1993,5,439
01/09/1992,1993,6,401
05/09/1992,1993,7,508
12/09/1992,1993,8,481
19/09/1992,1993,9,485
26/09/1992,1993,10,526
03/10/1992,1993,11,491
17/10/1992,1993,12,489
24/10/1992,1993,13,482
31/10/1992,1993,14,546
07/11/1992,1993,15,517
21/11/1992,1993,16,443
28/11/1992,1993,17,450
05/12/1992,1993,18,407
12/12/1992,1993,19,433
20/12/1992,1993,20,434
26/12/1992,1993,21,393
28/12/1992,1993,22,435
09/01/1993,1993,23,438
16/01/1993,1993,24,467
26/01/1993,1993,25,425
30/01/1993,1993,26,510
06/02/1993,1993,27,545
10/02/1993,1993,28,586
21/04/1993,1993,29,508
20/02/1993,1993,30,629
27/02/1993,1993,31,584
06/03/1993,1993,32,554
09/03/1993,1993,33,597
13/03/1993,1993,34,639
20/03/1993,1993,35,668
24/03/1993,1993,36,648
03/04/1993,1993,37,583
09/04/1993,1993,38,619
12/04/1993,1993,39,470
17/04/1993,1993,40,509
01/05/1993,1993,41,497
09/05/1993,1993,42,460
14/08/1993,1994,1,502
17/08/1993,1994,2,498
21/08/1993,1994,3,500
24/08/1993,1994,4,461
28/08/1993,1994,5,467
31/08/1993,1994,6,510
11/09/1993,1994,7,551
20/09/1993,1994,8,582
27/09/1993,1994,9,564
02/10/1993,1994,10,539
16/10/1993,1994,11,516
25/10/1993,1994,12,487
30/10/1993,1994,13,416
06/11/1993,1994,14,451
20/11/1993,1994,15,425
24/11/1993,1994,16,428
27/11/1993,1994,17,427
04/12/1993,1994,18,385
16/03/1994,1994,19,614
11/12/1993,1994,20,469
18/12/1993,1994,21,510
26/12/1993,1994,22,479
28/12/1993,1994,23,480
01/01/1994,1994,24,440
29/03/1994,1994,25,666
15/01/1994,1994,26,607
22/01/1994,1994,27,597
05/02/1994,1994,28,556
12/02/1994,1994,29,593
26/04/1994,1994,30,754
26/02/1994,1994,31,556
05/03/1994,1994,32,611
12/03/1994,1994,33,653
19/03/1994,1994,34,540
26/03/1994,1994,35,580
02/04/1994,1994,36,708
04/04/1994,1994,37,654
19/04/1994,1994,38,683
16/04/1994,1994,39,686
23/04/1994,1994,40,721
30/04/1994,1994,41,796
07/05/1994,1994,42,502
20/08/1994,1995,1,521
23/08/1994,1995,2,460
27/08/1994,1995,3,435
31/08/1994,1995,4,396
10/09/1994,1995,5,422
17/09/1994,1995,6,418
24/09/1994,1995,7,445
01/10/1994,1995,8,376
08/10/1994,1995,9,349
17/10/1994,1995,10,313
22/10/1994,1995,11,274
30/10/1994,1995,12,491
09/11/1994,1995,13,499
05/11/1994,1995,14,456
19/11/1994,1995,15,599
26/11/1994,1995,16,544
03/12/1994,1995,17,507
10/12/1994,1995,18,560
16/12/1994,1995,19,529
26/12/1994,1995,20,567
28/12/1994,1995,21,607
31/12/1994,1995,22,536
02/01/1995,1995,23,565
14/01/1995,1995,24,607
02/05/1995,1995,25,505
25/01/1995,1995,26,511
04/02/1995,1995,27,516
11/02/1995,1995,28,479
21/03/1995,1995,29,591
22/02/1995,1995,30,437
25/02/1995,1995,31,539
04/03/1995,1995,32,506
07/03/1995,1995,33,465
11/03/1995,1995,34,517
18/03/1995,1995,35,551
01/04/1995,1995,36,628
10/04/1995,1995,37,579
14/04/1995,1995,38,541
17/04/1995,1995,39,501
29/04/1995,1995,40,503
04/05/1995,1995,41,501
13/05/1995,1995,42,587
19/08/1995,1996,1,626
23/08/1995,1996,2,668
26/08/1995,1996,3,572
30/08/1995,1996,4,558
09/09/1995,1996,5,586
16/09/1995,1996,6,552
23/09/1995,1996,7,480
30/09/1995,1996,8,439
16/10/1995,1996,9,404
21/10/1995,1996,10,370
28/10/1995,1996,11,337
06/11/1995,1996,12,302
18/11/1995,1996,13,401
22/11/1995,1996,14,366
25/11/1995,1996,15,360
03/12/1995,1996,16,508
09/12/1995,1996,17,504
16/12/1995,1996,18,462
23/12/1995,1996,19,475
26/12/1995,1996,20,617
30/12/1995,1996,21,644
01/01/1996,1996,22,591
13/01/1996,1996,23,379
20/01/1996,1996,24,408
03/02/1996,1996,25,366
10/02/1996,1996,26,326
13/03/1996,1996,27,537
24/02/1996,1996,28,422
02/03/1996,1996,29,444
17/04/1996,1996,30,642
16/03/1996,1996,31,497
23/03/1996,1996,32,576
30/03/1996,1996,33,621
06/04/1996,1996,34,620
08/04/1996,1996,35,663
13/04/1996,1996,36,706
27/04/1996,1996,37,581
05/05/1996,1996,38,584
17/08/1996,1997,1,544
21/08/1996,1997,2,508
26/08/1996,1997,3,389
04/09/1996,1997,4,545
07/09/1996,1997,5,589
14/09/1996,1997,6,631
23/09/1996,1997,7,670
28/09/1996,1997,8,710
12/10/1996,1997,9,751
19/10/1996,1997,10,793
26/10/1996,1997,11,660
02/11/1996,1997,12,662
16/11/1996,1997,13,633
23/11/1996,1997,14,618
30/11/1996,1997,15,657
07/12/1996,1997,16,697
14/12/1996,1997,17,740
22/12/1996,1997,18,660
18/03/1997,1997,19,435
28/12/1996,1997,20,702
26/02/1997,1997,21,491
11/01/1997,1997,22,619
18/01/1997,1997,23,493
29/01/1997,1997,24,455
01/02/1997,1997,25,467
06/05/1997,1997,26,477
23/02/1997,1997,27,508
01/03/1997,1997,28,454
03/03/1997,1997,29,459
09/04/1997,1997,30,376
15/03/1997,1997,31,424
23/03/1997,1997,32,446
05/04/1997,1997,33,417
16/04/1997,1997,34,456
19/04/1997,1997,35,414
22/04/1997,1997,36,373
03/05/1997,1997,37,392
11/05/1997,1997,38,546
09/08/1997,1998,1,527
22/10/1997,1998,2,526
23/08/1997,1998,3,499
27/08/1997,1998,4,459
30/08/1997,1998,5,432
13/09/1997,1998,6,658
20/09/1997,1998,7,441
23/09/1997,1998,8,480
28/09/1997,1998,9,480
04/10/1997,1998,10,451
18/10/1997,1998,11,514
25/10/1997,1998,12,613
01/11/1997,1998,13,473
10/11/1997,1998,14,534
22/11/1997,1998,15,496
29/11/1997,1998,16,444
07/12/1997,1998,17,487
13/12/1997,1998,18,481
11/03/1998,1998,19,436
26/12/1997,1998,20,523
28/12/1997,1998,21,481
10/01/1998,1998,22,438
17/01/1998,1998,23,459
31/01/1998,1998,24,488
09/02/1998,1998,25,525
31/03/1998,1998,26,433
21/02/1998,1998,27,560
28/02/1998,1998,28,479
29/04/1998,1998,29,474
14/03/1998,1998,30,504
28/03/1998,1998,31,471
04/04/1998,1998,32,438
11/04/1998,1998,33,472
13/04/1998,1998,34,489
18/04/1998,1998,35,458
25/04/1998,1998,36,449
02/05/1998,1998,37,442
10/05/1998,1998,38,456
15/08/1998,1999,1,504
22/08/1998,1999,2,540
29/08/1998,1999,3,543
09/09/1998,1999,4,574
12/09/1998,1999,5,531
19/09/1998,1999,6,570
27/09/1998,1999,7,553
03/10/1998,1999,8,504
17/10/1998,1999,9,461
24/10/1998,1999,10,489
31/10/1998,1999,11,486
07/11/1998,1999,12,521
14/11/1998,1999,13,480
21/11/1998,1999,14,552
28/11/1998,1999,15,470
05/12/1998,1999,16,503
13/12/1998,1999,17,579
19/12/1998,1999,18,409
26/12/1998,1999,19,452
29/12/1998,1999,20,477
09/01/1999,1999,21,552
16/01/1999,1999,22,555
30/01/1999,1999,23,551
08/02/1999,1999,24,325
03/03/1999,1999,25,548
21/02/1999,1999,26,328
27/02/1999,1999,27,336
06/03/1999,1999,28,464
13/03/1999,1999,29,382
20/03/1999,1999,30,343
03/04/1999,1999,31,543
05/04/1999,1999,32,512
11/04/1999,1999,33,469
19/04/1999,1999,34,434
24/04/1999,1999,35,439
01/05/1999,1999,36,358
08/05/1999,1999,37,317
16/05/1999,1999,38,278
07/08/1999,2000,1,426
10/08/1999,2000,2,390
14/08/1999,2000,3,395
21/08/1999,2000,4,391
25/08/1999,2000,5,350
28/08/1999,2000,6,317
11/09/1999,2000,7,386
18/09/1999,2000,8,539
26/09/1999,2000,9,533
02/10/1999,2000,10,330
16/10/1999,2000,11,383
23/10/1999,2000,12,409
30/10/1999,2000,13,422
07/11/1999,2000,14,619
20/11/1999,2000,15,501
27/11/1999,2000,16,509
04/12/1999,2000,17,548
18/12/1999,2000,18,573
26/12/1999,2000,19,575
28/12/1999,2000,20,540
03/01/2000,2000,21,605
15/01/2000,2000,22,574
22/01/2000,2000,23,621
05/02/2000,2000,24,526
12/02/2000,2000,25,490
26/02/2000,2000,26,537
04/03/2000,2000,27,504
11/03/2000,2000,28,538
19/03/2000,2000,29,503
26/03/2000,2000,30,466
01/04/2000,2000,31,425
08/04/2000,2000,32,382
16/04/2000,2000,33,263
22/04/2000,2000,34,223
12/04/2000,2000,35,282
30/04/2000,2000,36,188
06/05/2000,2000,37,306
14/05/2000,2000,38,263
