Date,Season_End_Year,Week,ELO
16/08/2003,2004,1,458
23/08/2003,2004,2,383
27/08/2003,2004,3,370
30/08/2003,2004,4,421
13/09/2003,2004,5,397
20/09/2003,2004,6,362
27/09/2003,2004,7,407
04/10/2003,2004,8,523
18/10/2003,2004,9,549
25/10/2003,2004,10,592
01/11/2003,2004,11,559
08/11/2003,2004,12,578
22/11/2003,2004,13,440
29/11/2003,2004,14,515
06/12/2003,2004,15,452
14/12/2003,2004,16,423
21/01/2004,2004,17,695
26/12/2003,2004,18,393
28/12/2003,2004,19,527
07/01/2004,2004,20,533
10/01/2004,2004,21,493
17/01/2004,2004,22,725
31/01/2004,2004,23,624
07/02/2004,2004,24,586
10/02/2004,2004,25,373
21/02/2004,2004,26,496
28/02/2004,2004,27,499
14/03/2004,2004,28,466
20/03/2004,2004,29,425
27/03/2004,2004,30,395
03/04/2004,2004,31,353
10/04/2004,2004,32,380
12/04/2004,2004,33,338
17/04/2004,2004,34,611
25/04/2004,2004,35,592
01/05/2004,2004,36,627
09/05/2004,2004,37,611
15/05/2004,2004,38,573
15/08/2009,2010,1,530
18/08/2009,2010,2,569
22/08/2009,2010,3,538
29/08/2009,2010,4,473
12/09/2009,2010,5,418
20/09/2009,2010,6,555
27/09/2009,2010,7,440
03/10/2009,2010,8,252
17/10/2009,2010,9,355
24/10/2009,2010,10,441
31/10/2009,2010,11,508
07/11/2009,2010,12,465
21/11/2009,2010,13,428
29/11/2009,2010,14,386
05/12/2009,2010,15,469
12/12/2009,2010,16,553
15/12/2009,2010,17,511
20/12/2009,2010,18,538
26/12/2009,2010,19,496
28/12/2009,2010,20,453
23/03/2010,2010,21,544
16/01/2010,2010,22,428
26/01/2010,2010,23,486
30/01/2010,2010,24,487
07/02/2010,2010,25,446
10/02/2010,2010,26,592
20/02/2010,2010,27,551
27/02/2010,2010,28,427
06/03/2010,2010,29,397
13/03/2010,2010,30,428
20/03/2010,2010,31,510
27/03/2010,2010,32,584
03/04/2010,2010,33,542
11/04/2010,2010,34,549
17/04/2010,2010,35,536
24/04/2010,2010,36,544
01/05/2010,2010,37,454
09/05/2010,2010,38,548
14/08/2010,2011,1,580
21/08/2010,2011,2,587
28/08/2010,2011,3,586
11/09/2010,2011,4,557
18/09/2010,2011,5,471
26/09/2010,2011,6,443
02/10/2010,2011,7,413
16/10/2010,2011,8,429
23/10/2010,2011,9,388
30/10/2010,2011,10,585
